Date,HashRate(TH/s),MarketPrice(USD)
6/11/2022,227821656.2,30309.81429
6/12/2022,231428400.9,30220.90714
6/13/2022,227742430.3,30006.51714
6/14/2022,224497532.7,29533.93857
6/15/2022,221500575,28259.85286
6/16/2022,218926817.1,26984.34714
6/17/2022,213120310.2,25893.13857
6/18/2022,204733133.5,24502.71286
6/19/2022,205163245.1,23270.61857
6/20/2022,206453580,21932.47714
6/21/2022,206238524.2,21067.77429
6/22/2022,207098747.4,20803.64143
6/23/2022,199225068.1,20591.38714
6/24/2022,205552146.5,20220.37571
6/25/2022,209415032.5,20325.77857
6/26/2022,207575054.2,20434.34
6/27/2022,207951469.1,20792.03571
6/28/2022,208122956.7,20860.55857
6/29/2022,206523355.4,20877.69286
6/30/2022,210621554.2,20813.85
7/1/2022,214611394.2,20832.73857
7/2/2022,215661352.1,20658.08143
7/3/2022,212931461.5,20376.94143
7/4/2022,216501318.4,20054.56571
7/5/2022,217971259.4,19807.27
7/6/2022,212091495.2,19736.73
7/7/2022,207051697.3,19726.05857
7/8/2022,203649440.8,19791.72714
7/9/2022,206150660.1,20044.26143
7/10/2022,204913526.1,20388.51143
7/11/2022,204040060.4,20725.34714
7/12/2022,199475664.4,20946.15286
7/13/2022,205957831.9,20908.70429
7/14/2022,202061941.9,20781.71571
7/15/2022,195227065.8,20735.72714
7/16/2022,193984899.9,20583.65
7/17/2022,196883286.9,20469.24429
7/18/2022,190879485.3,20414.17286
7/19/2022,192535706.4,20405.54714
7/20/2022,189844347.1,20775.8
7/21/2022,193156789.3,21362.98571
7/22/2022,195940740.7,21792.06143
7/23/2022,192501653.2,22161.37429
7/24/2022,192146872.7,22425.87
7/25/2022,197350729.2,22606.52714
7/26/2022,198155524.3,22864.83714
7/27/2022,201050967.4,22688.07143
7/28/2022,207414031.5,22382.93429
7/29/2022,206687410.9,22343.37286
7/30/2022,209440620.9,22443.68143
7/31/2022,204524174.4,22601.52714
8/1/2022,203540885.1,22770.99714
8/2/2022,202360937.9,22877.29571
8/3/2022,201377648.6,23162.75571
8/4/2022,197444491.4,23407.67571
8/5/2022,195883411.6,23390.75571
8/6/2022,197183586.2,23212.47714
8/7/2022,204027840.7,23141.49714
8/8/2022,205948801.4,23041.38286
8/9/2022,208015065.7,23019.63429
8/10/2022,206144749.2,23093.54571
8/11/2022,207241418.7,23118.48
8/12/2022,209085147.6,23279.63286
8/13/2022,209885473.6,23471.84286
8/14/2022,205483681,23632.30571
8/15/2022,200281562.5,23846.58286
8/16/2022,200481644,24009.53143
8/17/2022,201482051.4,24049.51286
8/18/2022,197680503.2,24152.36714
8/19/2022,198583863.9,24062.67714
8/20/2022,203609480.2,23954.13714
8/21/2022,205797516.7,23443.4
8/22/2022,208582028,22972.42857
8/23/2022,208764223.6,22573.23143
8/24/2022,213782300.8,22188.48
8/25/2022,217367138.1,21851.29857
8/26/2022,220465112.4,21572.07286
8/27/2022,220062436.4,21344.06429
8/28/2022,219257084.4,21256.93571
8/29/2022,222277154.5,21097.68714
8/30/2022,224693210.5,20816.19571
8/31/2022,222679830.5,20657.26429
9/1/2022,224693437.7,20411.12143
9/2/2022,223038282.2,20221.14571
9/3/2022,215980538.1,20011.51571
9/4/2022,219123957.3,19971.45714
9/5/2022,223665601.2,19942.79286
9/6/2022,225712859.4,20006.30429
9/7/2022,224333620,19934.79857
9/8/2022,225042111.4,19793.89571
9/9/2022,222622303.8,19684.23857
9/10/2022,226581989,19569.52571
9/11/2022,228781814.2,19774.47857
9/12/2022,232081551.9,20037.06286
9/13/2022,232081551.9,20294.18714
9/14/2022,231125783.8,20666.02143
9/15/2022,227909608.2,20861.14429
9/16/2022,233424481.8,20995.35429
9/17/2022,230215892.8,21047.80571
9/18/2022,234365379.4,20819.23857
9/19/2022,229154215.6,20597.76429
9/20/2022,225080869.7,20257.95571
9/21/2022,229389618.9,19850.74
9/22/2022,232575585.8,19666.08286
9/23/2022,228251773.5,19421.48429
9/24/2022,229844757,19380.61857
9/25/2022,224383099.4,19308.18571
9/26/2022,222790115.9,19138.05429
9/27/2022,227341497.3,19051.17571
9/28/2022,222107408.7,19006.18429
9/29/2022,223489276.7,19038.31714
9/30/2022,226207380,19184.51
10/1/2022,233122853.3,19211.68571
10/2/2022,240207537.6,19232.63143
10/3/2022,241719711.3,19287.33143
10/4/2022,241881060,19321.90429
10/5/2022,248825712.3,19379.81143
10/6/2022,254330138.7,19556.57714
10/7/2022,257893433.1,19647.58857
10/8/2022,258338844.9,19698.67857
10/9/2022,257002609.5,19715.48143
10/10/2022,257225315.4,19730.20143
10/11/2022,263180398.3,19786.22429
10/12/2022,266582891.1,19714.78286
10/13/2022,262255135.4,19530.12429
10/14/2022,263008007.4,19385.61286
10/15/2022,264375964.1,19303.73286
10/16/2022,263841541.7,19252.28857
10/17/2022,265070008.5,19201.62714
10/18/2022,262751549.2,19176.43429
10/19/2022,258958216,19235.92714
10/20/2022,262498660.4,19276.08429
10/21/2022,263004438.1,19271.71857
10/22/2022,263004438.1,19223.64714
10/23/2022,258958216,19221.73714
10/24/2022,261757390.7,19242.07286
10/25/2022,259399943,19284.98429
10/26/2022,255403382.9,19254.97429
10/27/2022,257763206.6,19365.05
10/28/2022,256408615.9,19600.29429
10/29/2022,258550344.8,19777.67857
10/30/2022,261564453.1,19982.00571
10/31/2022,257663576.5,20212.10714
11/1/2022,267342309.9,20363.90571
11/2/2022,273097232.4,20529.67571
11/3/2022,264464848.6,20584.67429
11/4/2022,272050882.8,20496.33571
11/5/2022,264203261.2,20484.85571
11/6/2022,266295960.3,20563.61286
11/7/2022,266819135.1,20631.68571
11/8/2022,259162652.1,20673.37571
11/9/2022,264047752.2,20687.54
11/10/2022,271032857.2,20409.51857
11/11/2022,266509160.8,19795.65571
11/12/2022,267747170.8,19415.95143
11/13/2022,271845421.4,18821.28429
11/14/2022,269685404.6,18176.10286
11/15/2022,264198331.6,17517.52714
11/16/2022,262109807.2,16944.60143
11/17/2022,262370872.8,16706.52286
11/18/2022,260021282.9,16821.56429
11/19/2022,261326610.6,16697.59429
11/20/2022,256105299.7,16653.73143
11/21/2022,261338645.2,16641.07429
11/22/2022,263077533.7,16633.94714
11/23/2022,255675116.6,16515.61143
11/24/2022,253514068,16418.63857
11/25/2022,251336973.4,16410.71429
11/26/2022,247324396.9,16397.89
11/27/2022,237549658,16372.77857
11/28/2022,234325626.8,16339.30286
11/29/2022,236949654,16362.13
11/30/2022,238261667.6,16426.32286
12/1/2022,237474459.4,16460.32
12/2/2022,243772124.6,16540.87
12/3/2022,244296930.1,16594.99857
12/4/2022,250069789.8,16678.39714
12/5/2022,251119400.7,16741.36286
12/6/2022,252956219.7,16840.98714
12/7/2022,251622832.9,16949.28143
12/8/2022,257239076.8,17042.52714
12/9/2022,257703355,16994.73143
12/10/2022,261867134.4,17032.30429
12/11/2022,264942867.5,17037.63571
12/12/2022,263954681.1,17070.60143
12/13/2022,260419338.5,17067.89286
12/14/2022,267503493.4,17102.15714
12/15/2022,261667053.5,17200.09714
12/16/2022,254857873.7,17338.15286
12/17/2022,249507803.8,17355.70857
12/18/2022,245616843.9,17285.57286
12/19/2022,245130473.9,17236.80286
12/20/2022,243778056.2,17186.42857
12/21/2022,238811677.3,17076.86
12/22/2022,238732853.4,16953.09
12/23/2022,238833600.5,16811.83
12/24/2022,240369602.3,16734.86
12/25/2022,229161243.9,16755.16143
12/26/2022,229309701.6,16762.94714
12/27/2022,228283305.9,16774.5
12/28/2022,222004887.1,16842.47286
12/29/2022,228283305.9,16813.09571
12/30/2022,229790126.4,16773.90429
12/31/2022,236319681.9,16747.02
1/1/2023,253145844.2,16721.30286
1/2/2023,256661758.7,16676.82857
1/3/2023,263442450.9,16646.37857
1/4/2023,271973650.6,16611.49857
1/5/2023,264405031.2,16607.29857
1/6/2023,267006705.1,16651.77714
1/7/2023,270907684.8,16679.76571
1/8/2023,269015964.4,16730.09143
1/9/2023,267133266.3,16789.86571
1/10/2023,264757317.2,16860.53714
1/11/2023,268262719.3,16934.89857
1/12/2023,269231176.8,17045.48143
1/13/2023,267778490.6,17200.33429
1/14/2023,262694088.9,17490.75
1/15/2023,266810033.1,17916.66286
1/16/2023,269802335.9,18489.51286
1/17/2023,272242215.3,19028.45286
1/18/2023,272968676.8,19599.65571
1/19/2023,274750496.5,20128.44143
1/20/2023,276898595.6,20519.61
1/21/2023,273639463.9,20837.95857
1/22/2023,269076644,21232.25714
1/23/2023,269349895.9,21491.87857
1/24/2023,272286316.9,21755.19857
1/25/2023,265078737.9,22002.89571
1/26/2023,274421895.9,22215.65143
1/27/2023,277091369.6,22560.93143
1/28/2023,282964211.7,22835.29286
1/29/2023,290972632.8,22889.91571
1/30/2023,295092344.7,22927.02
1/31/2023,291478680.6,23074.39429
2/1/2023,289179153.6,23061.78286
2/2/2023,280747934.9,23133.13143
2/3/2023,279891258.9,23223.45714
2/4/2023,275948137.3,23287.18857
2/5/2023,269106100.7,23339.22857
2/6/2023,267153648.3,23381.51571
2/7/2023,269948142.5,23264.53
2/8/2023,277493276.9,23254.19429
2/9/2023,277772726.4,23271.46286
2/10/2023,282523366.5,23163.29857
2/11/2023,286435658.5,22926.10429
2/12/2023,290068501,22668.74143
2/13/2023,292441247.5,22459.25571
